player_id,source_file,output_file,site_file,source_size_bytes,output_size_bytes,compression_ratio,width,height,status,error
1630188,D:\nba\headshot\1630188.png,D:\nba\headshot(webp)\1630188.webp,D:\nba\salary_scatter_site\assets\headshots\1630188.webp,44317,4170,0.0941,120,120,skipped_existing,
1642347,D:\nba\headshot\1642347.png,D:\nba\headshot(webp)\1642347.webp,D:\nba\salary_scatter_site\assets\headshots\1642347.webp,43979,4586,0.1043,120,120,skipped_existing,
1628415,D:\nba\headshot\1628415.png,D:\nba\headshot(webp)\1628415.webp,D:\nba\salary_scatter_site\assets\headshots\1628415.webp,45206,4828,0.1068,120,120,skipped_existing,
1630692,D:\nba\headshot\1630692.png,D:\nba\headshot(webp)\1630692.webp,D:\nba\salary_scatter_site\assets\headshots\1630692.webp,45293,4858,0.1073,120,120,skipped_existing,
1642271,D:\nba\headshot\1642271.png,D:\nba\headshot(webp)\1642271.webp,D:\nba\salary_scatter_site\assets\headshots\1642271.webp,39412,3602,0.0914,120,120,skipped_existing,
1642867,D:\nba\headshot\1642867.png,D:\nba\headshot(webp)\1642867.webp,D:\nba\salary_scatter_site\assets\headshots\1642867.webp,45249,4764,0.1053,120,120,skipped_existing,
1629632,D:\nba\headshot\1629632.png,D:\nba\headshot(webp)\1629632.webp,D:\nba\salary_scatter_site\assets\headshots\1629632.webp,51805,4756,0.0918,120,120,skipped_existing,
1630200,D:\nba\headshot\1630200.png,D:\nba\headshot(webp)\1630200.webp,D:\nba\salary_scatter_site\assets\headshots\1630200.webp,46217,4422,0.0957,120,120,skipped_existing,
1629614,D:\nba\headshot\1629614.png,D:\nba\headshot(webp)\1629614.webp,D:\nba\salary_scatter_site\assets\headshots\1629614.webp,42715,4902,0.1148,120,120,skipped_existing,
1628960,D:\nba\headshot\1628960.png,D:\nba\headshot(webp)\1628960.webp,D:\nba\salary_scatter_site\assets\headshots\1628960.webp,44463,4610,0.1037,120,120,skipped_existing,
1629057,D:\nba\headshot\1629057.png,D:\nba\headshot(webp)\1629057.webp,D:\nba\salary_scatter_site\assets\headshots\1629057.webp,59532,5700,0.0957,120,120,skipped_existing,
1629011,D:\nba\headshot\1629011.png,D:\nba\headshot(webp)\1629011.webp,D:\nba\salary_scatter_site\assets\headshots\1629011.webp,55524,6072,0.1094,120,120,skipped_existing,
1629630,D:\nba\headshot\1629630.png,D:\nba\headshot(webp)\1629630.webp,D:\nba\salary_scatter_site\assets\headshots\1629630.webp,50399,4326,0.0858,120,120,skipped_existing,
1641796,D:\nba\headshot\1641796.png,D:\nba\headshot(webp)\1641796.webp,D:\nba\salary_scatter_site\assets\headshots\1641796.webp,46290,4446,0.096,120,120,skipped_existing,
1630198,D:\nba\headshot\1630198.png,D:\nba\headshot(webp)\1630198.webp,D:\nba\salary_scatter_site\assets\headshots\1630198.webp,50140,5164,0.103,120,120,skipped_existing,
1629001,D:\nba\headshot\1629001.png,D:\nba\headshot(webp)\1629001.webp,D:\nba\salary_scatter_site\assets\headshots\1629001.webp,53049,6036,0.1138,120,120,skipped_existing,
1630230,D:\nba\headshot\1630230.png,D:\nba\headshot(webp)\1630230.webp,D:\nba\salary_scatter_site\assets\headshots\1630230.webp,54770,6006,0.1097,120,120,skipped_existing,
203500,D:\nba\headshot\203500.png,D:\nba\headshot(webp)\203500.webp,D:\nba\salary_scatter_site\assets\headshots\203500.webp,43288,3906,0.0902,120,120,skipped_existing,
1630549,D:\nba\headshot\1630549.png,D:\nba\headshot(webp)\1630549.webp,D:\nba\salary_scatter_site\assets\headshots\1630549.webp,45569,4010,0.088,120,120,skipped_existing,
1631260,D:\nba\headshot\1631260.png,D:\nba\headshot(webp)\1631260.webp,D:\nba\salary_scatter_site\assets\headshots\1631260.webp,45852,4536,0.0989,120,120,skipped_existing,
1629731,D:\nba\headshot\1629731.png,D:\nba\headshot(webp)\1629731.webp,D:\nba\salary_scatter_site\assets\headshots\1629731.webp,41601,3954,0.095,120,120,skipped_existing,
1631169,D:\nba\headshot\1631169.png,D:\nba\headshot(webp)\1631169.webp,D:\nba\salary_scatter_site\assets\headshots\1631169.webp,45733,4224,0.0924,120,120,skipped_existing,
1630174,D:\nba\headshot\1630174.png,D:\nba\headshot(webp)\1630174.webp,D:\nba\salary_scatter_site\assets\headshots\1630174.webp,46302,4918,0.1062,120,120,skipped_existing,
